,Date,LeBron James,Anthony Davis,Russell Westbrook,Malik Monk,Carmelo Anthony,Isaiah Thomas,Talen Horton-Tucker,Austin Reaves,Stanley Johnson,Avery Bradley,Mac McClung,Trevor Ariza,Wayne Ellington,D.J. Augustin,Wenyen Gabriel,Dwight Howard,Rajon Rondo,Kent Bazemore,Mason Jones,DeAndre Jordan,Darren Collison,Chaundee Brown Jr.,Sekou Doumbouya,Jemerrio Jones,Jay Huff,Kendrick Nunn
0,2021-10-19,36.73,38.92,35.13,18.73,26.07,0.0,0.0,0.0,0.0,8.23,0.0,0.0,0.0,0.0,0.0,12.82,19.82,30.62,0.0,12.92,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,36.53,38.15,34.58,16.8,24.83,0.0,0.0,12.0,0.0,20.77,0.0,0.0,0.0,0.0,0.0,8.78,13.88,23.47,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-24,40.3,33.7,36.77,21.0,27.58,0.0,0.0,17.83,0.0,2.27,0.0,0.0,0.0,0.0,0.0,17.7,0.0,28.37,0.0,14.48,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-26,0.0,42.38,39.62,38.8,30.07,0.0,0.0,30.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.78,19.53,31.02,0.0,15.58,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-27,0.0,36.57,34.83,32.28,30.88,0.0,0.0,17.77,0.0,16.63,0.0,0.0,0.0,0.0,0.0,14.28,16.38,27.68,0.0,12.68,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-29,37.95,31.05,34.25,5.4,24.58,0.0,0.0,20.9,0.0,23.22,0.0,0.0,0.0,0.0,0.0,19.87,0.0,28.15,0.0,14.63,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-10-31,34.53,32.58,34.88,18.55,24.8,0.0,0.0,20.18,0.0,30.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.05,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-02,36.27,32.03,37.18,13.17,29.35,0.0,0.0,20.8,0.0,28.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.72,0.0,15.97,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-04,0.0,38.12,34.65,13.47,31.88,0.0,0.0,22.13,0.0,31.68,0.0,0.0,8.5,0.0,0.0,7.93,15.03,22.47,0.0,14.13,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-06,0.0,7.15,29.48,21.88,26.63,0.0,0.0,24.55,0.0,22.77,0.0,0.0,24.88,0.0,0.0,14.73,12.58,19.12,0.0,20.12,0.0,0.0,8.05,0.0,8.05,0.0
10,2021-11-08,0.0,43.58,41.02,17.18,36.55,0.0,0.0,27.0,0.0,23.75,0.0,0.0,23.77,0.0,0.0,15.23,11.98,14.33,0.0,10.55,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-10,0.0,44.53,43.35,34.55,37.67,0.0,0.0,0.0,0.0,38.7,0.0,0.0,21.83,0.0,0.0,11.37,0.0,21.85,0.0,11.15,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-12,0.0,30.97,30.88,28.88,23.5,0.0,0.0,0.0,0.0,26.78,0.0,0.0,27.85,0.0,0.0,22.93,24.33,15.53,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0
13,2021-11-14,0.0,39.67,34.28,26.67,30.08,0.0,27.05,0.0,0.0,22.57,0.0,0.0,29.55,0.0,0.0,9.92,20.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-15,0.0,27.98,31.25,27.43,27.38,0.0,37.18,0.0,0.0,17.53,0.0,0.0,20.72,0.0,0.0,13.02,18.05,12.45,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-11-17,0.0,37.0,35.63,23.5,31.63,0.0,38.97,0.0,0.0,16.8,0.0,0.0,19.92,0.0,0.0,8.28,12.37,10.87,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-11-19,32.07,36.6,31.33,24.63,25.73,0.0,26.92,0.0,0.0,26.28,0.0,0.0,11.93,0.0,0.0,9.53,10.53,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-03,36.25,36.3,36.25,29.07,24.68,0.0,27.72,8.98,0.0,0.0,0.0,0.0,19.95,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-11-21,21.43,39.63,34.82,12.3,29.88,0.0,32.75,0.0,0.0,26.07,0.0,0.0,11.88,0.0,0.0,13.23,4.75,0.0,0.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-11-23,0.0,33.97,37.15,31.08,27.57,0.0,28.75,0.0,0.0,29.97,0.0,0.0,17.05,0.0,0.0,9.88,0.0,0.0,0.0,24.58,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-12-07,36.27,35.48,35.7,19.67,21.15,0.0,34.72,3.17,0.0,24.45,0.0,0.0,13.72,0.0,0.0,12.52,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-11-24,43.47,0.0,39.52,33.5,29.9,0.0,28.65,0.0,0.0,24.6,0.0,0.0,29.95,0.0,0.0,14.45,0.0,0.0,0.0,20.97,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-12-09,37.4,38.13,33.33,22.82,21.88,0.0,27.18,0.0,0.0,28.7,0.0,0.0,20.08,0.0,0.0,10.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-12-10,34.68,0.0,33.33,18.27,24.18,0.0,24.7,27.95,0.0,26.43,0.0,0.0,17.68,0.0,0.0,17.47,0.0,4.27,0.0,11.03,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-11-26,49.75,48.6,51.17,43.55,43.28,0.0,24.23,0.0,0.0,11.75,0.0,0.0,15.55,0.0,0.0,16.25,0.0,0.0,0.0,10.87,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-11-28,37.4,37.68,36.58,21.73,20.0,0.0,26.78,5.98,0.0,18.27,0.0,0.0,14.93,0.0,0.0,0.0,0.0,0.0,0.0,20.63,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-12-12,37.18,0.0,35.47,18.48,24.95,0.0,30.25,25.23,0.0,28.65,0.0,0.0,7.07,0.0,0.0,23.2,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-11-30,0.0,34.92,34.7,32.58,19.17,0.0,16.25,18.22,0.0,0.0,0.0,0.0,33.43,0.0,0.0,35.07,8.82,2.48,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-12-15,42.97,39.38,42.08,0.0,23.75,0.0,0.0,32.22,0.0,23.5,0.0,0.0,37.87,0.0,0.0,0.0,0.0,15.22,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-12-17,35.5,20.08,28.53,0.0,28.17,21.62,0.0,0.0,0.0,0.0,0.0,0.0,29.68,0.0,0.0,0.0,22.4,24.07,0.0,9.53,0.0,15.17,0.0,0.0,5.22,0.0
30,2021-12-19,39.4,0.0,38.13,0.0,29.68,32.37,0.0,0.0,0.0,0.0,0.0,15.23,35.52,0.0,0.0,0.0,23.58,0.0,0.0,20.62,0.0,5.42,0.0,0.0,0.0,0.0
31,2021-12-21,34.0,0.0,36.53,0.0,15.78,25.55,31.38,0.0,0.0,0.0,0.0,20.83,27.75,0.0,0.0,0.0,23.43,0.0,3.15,15.28,0.0,0.0,0.0,3.15,3.15,0.0
32,2021-12-23,34.67,0.0,35.12,0.0,21.02,21.42,37.7,0.0,0.0,0.0,0.0,0.0,28.92,0.0,0.0,21.8,11.75,0.0,5.67,6.55,0.0,0.0,0.0,11.57,3.83,0.0
33,2021-12-25,39.88,0.0,36.88,35.12,38.52,0.0,30.23,0.0,27.4,0.0,0.0,0.0,13.68,0.0,0.0,6.18,0.0,0.0,0.0,0.0,12.08,0.0,0.0,0.0,0.0,0.0
34,2021-12-28,39.45,0.0,34.75,39.78,27.55,0.0,21.15,0.0,31.9,30.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.47,0.0,0.0,0.0,0.0,0.0
35,2021-12-29,37.95,0.0,39.55,31.45,30.15,0.0,18.82,0.0,22.53,32.5,0.0,0.0,0.0,0.0,0.0,16.43,0.0,0.0,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0
36,2021-12-31,29.3,0.0,30.45,29.52,20.57,0.0,22.27,26.63,23.07,25.15,0.0,22.05,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-01-02,39.22,0.0,33.4,33.1,28.67,0.0,22.6,22.05,20.68,27.93,0.0,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2022-01-04,36.48,0.0,33.53,37.02,17.12,0.0,33.07,21.65,0.0,21.18,0.0,18.37,0.0,0.0,0.0,21.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2022-01-07,36.5,0.0,31.12,34.65,27.52,0.0,30.65,18.33,19.55,23.93,0.0,12.27,0.0,0.0,0.0,3.7,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2022-01-09,33.37,0.0,26.13,29.1,23.38,0.0,18.95,22.73,13.22,23.42,0.0,15.17,11.05,0.0,0.0,8.77,0.0,6.75,0.0,7.97,0.0,0.0,0.0,0.0,0.0,0.0
41,2022-01-12,38.93,0.0,37.3,29.33,0.0,0.0,19.23,27.75,11.65,26.57,0.0,25.23,9.03,0.0,0.0,14.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-01-15,30.7,0.0,25.95,24.75,0.0,0.0,20.78,26.68,13.22,19.53,0.0,21.22,14.9,0.0,0.0,21.37,0.0,9.02,0.0,11.88,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-01-17,37.28,0.0,27.67,24.88,0.0,0.0,28.0,21.42,24.53,26.98,0.0,27.48,0.0,0.0,0.0,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-01-19,37.4,0.0,26.6,27.68,29.55,0.0,25.05,24.62,16.43,24.38,0.0,15.1,0.0,0.0,0.0,13.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2022-01-21,33.6,0.0,35.25,31.25,17.4,0.0,20.27,23.15,21.57,19.82,0.0,24.6,0.0,0.0,0.0,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2022-01-23,39.87,0.0,31.67,23.55,25.22,0.0,21.93,8.83,22.5,30.95,0.0,14.77,9.77,0.0,0.0,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2022-01-25,34.45,24.78,32.73,27.8,22.67,0.0,18.5,24.78,28.83,23.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2022-01-27,0.0,33.65,34.2,30.87,25.6,0.0,17.72,22.95,25.07,25.87,0.0,0.0,9.73,0.0,0.0,11.67,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-01-28,0.0,0.0,37.45,0.0,34.85,0.0,27.1,27.92,27.75,20.08,0.0,13.9,17.93,0.0,0.0,0.0,0.0,13.52,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0
50,2022-01-30,0.0,38.35,35.0,37.77,20.65,0.0,14.42,25.57,29.22,22.43,0.0,0.0,0.0,0.0,0.0,9.65,0.0,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2022-02-02,0.0,36.63,33.87,30.83,32.55,0.0,18.23,22.17,17.25,30.52,0.0,0.0,0.0,0.0,0.0,11.2,0.0,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2022-02-03,0.0,37.82,35.6,33.1,11.12,0.0,20.62,25.33,22.6,19.52,0.0,17.43,0.0,0.0,0.0,10.18,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2022-02-05,39.92,41.27,29.02,39.38,0.0,0.0,23.98,18.47,22.18,12.83,0.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0
54,2022-02-08,34.52,37.03,26.08,32.28,0.0,0.0,29.05,20.07,25.67,15.62,0.0,19.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2022-02-09,36.68,40.75,0.0,29.17,0.0,0.0,23.85,13.32,25.67,35.78,0.0,19.7,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2022-02-12,38.35,35.38,35.15,20.05,0.0,0.0,29.63,23.37,16.28,25.72,0.0,16.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2022-02-16,39.72,16.63,33.42,29.25,0.0,0.0,30.5,28.97,19.05,0.0,0.0,19.17,4.37,0.0,0.0,11.72,0.0,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2022-02-25,35.68,0.0,32.8,24.82,28.38,0.0,27.3,32.65,13.67,0.0,0.0,18.47,0.0,0.0,0.0,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2022-02-27,35.58,0.0,27.8,24.1,29.68,0.0,25.02,21.23,12.17,0.0,0.0,10.83,17.65,0.0,0.0,22.17,0.0,4.55,0.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0
60,2022-03-01,38.2,0.0,38.18,39.48,30.87,0.0,33.28,16.67,22.27,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,17.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2022-03-03,37.07,0.0,28.92,29.12,25.23,0.0,0.0,26.17,19.8,0.0,0.0,0.0,11.63,21.85,3.95,16.07,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2022-03-05,38.55,0.0,32.0,31.83,24.58,0.0,17.82,33.52,26.23,16.18,0.0,0.0,0.0,19.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2022-03-07,0.0,0.0,34.63,33.52,30.47,0.0,30.72,27.1,30.48,16.85,0.0,0.0,0.0,18.67,0.0,17.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2022-03-09,45.27,0.0,39.82,39.58,30.08,0.0,0.0,33.05,24.73,19.95,0.0,0.0,0.0,21.67,2.22,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2022-03-11,35.7,0.0,31.33,29.55,21.47,0.0,30.0,31.83,27.43,0.0,0.0,0.0,0.0,19.93,12.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2022-03-13,30.2,0.0,28.53,27.12,18.08,0.0,22.12,25.4,10.87,25.23,0.0,0.0,8.73,8.97,12.13,16.57,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2022-03-14,40.33,0.0,34.93,23.88,27.62,0.0,27.15,16.88,15.45,4.68,0.0,0.0,25.15,5.05,18.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2022-03-16,37.07,0.0,35.68,29.88,26.2,0.0,9.22,21.57,7.12,14.15,0.0,0.0,17.58,10.67,14.65,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2022-03-18,44.68,0.0,41.23,30.32,0.0,0.0,0.0,27.0,30.08,24.73,0.0,0.0,0.0,18.2,24.87,23.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2022-03-19,35.88,0.0,36.62,27.8,23.07,0.0,16.7,27.12,25.42,17.88,0.0,0.0,0.0,17.88,11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2022-03-21,40.6,0.0,35.33,22.4,13.95,0.0,0.0,29.37,23.07,5.92,0.0,0.0,0.0,25.88,31.78,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2022-03-23,0.0,0.0,32.88,31.93,30.92,0.0,0.0,29.12,35.1,0.0,0.0,0.0,0.0,22.17,29.77,28.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2022-03-27,41.63,0.0,31.68,28.83,14.63,0.0,21.05,19.73,19.12,0.0,0.0,0.0,0.0,12.42,17.53,33.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2022-03-29,0.0,0.0,32.12,32.33,15.15,0.0,17.03,17.47,34.98,16.62,0.0,22.83,0.0,17.65,15.38,5.27,0.0,13.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2022-03-31,0.0,0.0,34.48,32.13,25.87,0.0,21.88,16.62,22.95,0.0,0.0,24.77,0.0,20.0,10.95,30.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2022-04-01,39.52,36.7,30.58,34.07,0.0,0.0,0.0,0.0,22.27,33.78,0.0,0.0,0.0,16.47,4.32,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2022-04-03,0.0,34.58,33.77,33.22,25.77,0.0,17.72,0.0,15.58,27.58,0.0,0.0,0.0,16.93,11.42,23.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2022-04-05,0.0,35.52,34.25,18.33,23.87,0.0,21.63,30.97,14.65,17.53,0.0,0.0,0.0,18.25,5.88,19.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2022-04-07,0.0,0.0,0.0,37.1,0.0,0.0,37.0,32.52,34.78,0.0,0.0,0.0,16.47,23.23,20.23,25.45,0.0,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2022-04-08,0.0,0.0,0.0,34.35,0.0,0.0,34.35,28.1,31.8,0.0,0.0,0.0,22.0,23.23,24.72,23.28,0.0,0.0,18.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2022-04-10,0.0,0.0,0.0,35.17,0.0,0.0,13.22,41.57,46.48,0.0,21.83,0.0,29.95,15.05,38.13,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
